abbreviation,conference,conference_losses,conference_win_percentage,conference_wins,first_downs,opponents_first_downs,first_downs_from_penalties,opponents_first_downs_from_penalties,fumbles_lost,opponents_fumbles_lost,games,interceptions,opponents_interceptions,losses,name,pass_attempts,opponents_pass_attempts,pass_completion_percentage,opponents_pass_completion_percentage,pass_completions,opponents_pass_completions,pass_first_downs,opponents_pass_first_downs,pass_touchdowns,opponents_pass_touchdowns,pass_yards,opponents_pass_yards,penalties,opponents_penalties,plays,opponents_plays,points_against_per_game,points_per_game,rush_attempts,opponents_rush_attempts,rush_first_downs,opponents_rush_first_downs,rush_touchdowns,opponents_rush_touchdowns,rush_yards,opponents_rush_yards,rush_yards_per_attempt,opponents_rush_yards_per_attempt,simple_rating_system,strength_of_schedule,turnovers,opponents_turnovers,win_percentage,wins,yards,opponents_yards,yards_from_penalties,opponents_yards_from_penalties,yards_per_play,opponents_yards_per_play,year,Rk
WAKE-FOREST,acc,4,0.429,3,23.3,23.2,2.1,2.0,0.2,0.4,9,0.6,1.4,5,Wake Forest,34.4,33.1,56.5,63.4,19.4,21.0,12.1,10.1,1.6,1.9,281.4,252.3,5.3,6.4,76.7,73.7,32.8,36.0,42.2,40.6,9.1,11.1,2.4,2.2,163.1,183.3,3.9,4.5,-0.33,0.12,0.8,1.9,0.444,4,444.6,435.7,44.6,59.6,5.8,5.9,2020,
LOUISVILLE,acc,7,0.3,3,20.8,18.2,2.0,1.7,1.1,0.6,11,1.1,0.5,7,Louisville,28.5,26.3,64.3,53.6,18.4,14.1,10.3,8.5,1.8,1.4,244.2,189.2,6.2,6.2,66.7,63.9,26.6,29.5,38.2,37.6,10.3,9.6,1.9,1.7,200.0,179.9,5.2,4.8,-0.78,-1.87,2.2,1.1,0.364,4,444.2,369.1,52.0,50.1,6.7,5.8,2020,
FLORIDA-STATE,acc,6,0.25,2,20.6,23.8,2.2,3.8,0.4,0.7,9,1.4,0.9,6,Florida State,32.4,31.7,54.5,66.3,17.7,21.0,8.6,10.3,1.1,1.8,196.8,257.1,8.9,7.7,71.2,70.6,36.0,25.8,38.8,38.9,11.8,11.7,2.1,2.8,202.0,199.2,5.2,5.1,-8.87,-1.54,1.9,1.6,0.333,3,398.8,456.3,77.8,67.1,5.6,6.5,2020,
SYRACUSE,acc,9,0.1,1,13.2,25.5,1.1,2.5,0.8,1.0,11,1.1,1.2,10,Syracuse,30.5,33.9,51.5,65.4,15.7,22.2,7.3,11.8,1.4,1.7,173.3,254.8,7.1,6.5,59.6,79.7,32.7,17.8,29.1,45.8,4.8,11.2,0.5,2.2,92.0,209.2,3.2,4.6,-12.92,1.53,1.9,2.2,0.091,1,265.3,464.0,67.3,55.9,4.4,5.8,2020,
MIAMI-FL,acc,2,0.778,7,22.9,23.5,2.5,2.8,0.5,0.8,11,0.5,0.6,3,Miami (FL),34.6,34.6,62.7,63.3,21.7,21.9,11.5,11.3,2.4,1.8,277.3,233.9,7.8,7.6,72.7,73.0,27.0,34.0,38.1,38.4,9.0,9.4,1.6,1.5,163.0,174.5,4.3,4.5,6.56,1.47,1.1,1.5,0.727,8,440.3,408.4,70.5,68.5,6.1,5.6,2020,22.0
NORTH-CAROLINA,acc,3,0.7,7,26.4,21.4,2.0,2.6,0.4,0.3,12,0.7,0.7,4,North Carolina,29.8,32.9,68.3,58.2,20.3,19.2,12.5,10.2,2.6,1.4,301.4,246.7,7.1,6.8,70.8,69.1,29.4,41.7,41.0,36.2,11.9,8.8,2.9,2.1,235.8,154.3,5.8,4.3,7.03,-1.55,1.1,0.9,0.667,8,537.3,400.9,67.8,55.9,7.6,5.8,2020,18.0
PITTSBURGH,acc,5,0.5,5,20.6,18.7,2.7,2.6,0.4,0.5,11,1.1,1.3,5,Pitt,38.6,34.3,57.6,56.0,22.3,19.2,11.3,9.2,1.3,2.1,259.7,246.0,8.0,6.6,73.9,69.5,24.5,29.0,35.3,35.3,6.6,6.9,1.8,1.0,120.1,93.5,3.4,2.7,1.54,-1.19,1.5,1.8,0.545,6,379.8,339.5,70.4,56.5,5.1,4.9,2020,
VIRGINIA-TECH,acc,5,0.5,5,22.4,23.3,1.7,1.1,0.7,0.5,11,0.5,1.1,6,Virginia Tech,23.2,35.4,62.0,61.7,14.4,21.8,8.5,12.6,1.2,1.7,200.6,266.0,5.3,7.5,66.2,72.3,32.1,31.1,43.0,36.9,12.2,9.5,2.5,2.2,240.1,181.5,5.6,4.9,1.51,1.78,1.3,1.5,0.455,5,440.7,447.5,47.0,65.0,6.7,6.2,2020,
VIRGINIA,acc,5,0.444,4,23.6,20.4,2.5,1.1,0.5,0.7,10,1.4,1.1,5,Virginia,37.9,32.3,58.3,62.8,22.1,20.3,11.6,12.4,2.2,1.9,260.6,304.4,5.2,7.9,74.5,69.3,29.6,30.7,36.6,37.0,9.5,6.9,1.6,1.4,162.7,138.5,4.4,3.7,-0.39,-0.09,1.9,1.8,0.5,5,423.3,442.9,45.8,66.7,5.7,6.4,2020,
GEORGIA-TECH,acc,6,0.333,3,19.9,24.1,1.5,2.3,1.2,1.2,10,1.3,0.6,7,Georgia Tech,28.3,35.6,53.7,58.7,15.2,20.9,8.5,11.7,1.4,2.2,199.1,270.1,8.9,7.0,69.1,78.4,36.8,23.9,40.8,42.8,9.9,10.1,1.8,2.1,190.8,189.2,4.7,4.4,-7.85,0.05,2.5,1.8,0.3,3,389.9,459.3,74.9,64.2,5.6,5.9,2020,
DUKE,acc,9,0.1,1,21.6,22.5,2.4,1.4,1.8,1.0,11,1.7,0.8,9,Duke,35.5,29.3,56.3,57.1,20.0,16.7,10.8,10.1,1.0,2.0,222.6,231.6,5.6,5.4,75.4,70.8,38.1,24.8,39.8,41.5,8.5,11.0,1.7,2.8,157.1,215.8,3.9,5.2,-12.88,-1.6,3.5,1.8,0.182,2,379.7,447.5,50.4,53.4,5.0,6.3,2020,
CINCINNATI,american,0,1.0,6,21.9,19.4,1.0,2.9,1.0,0.5,10,0.6,1.6,1,Cincinnati,29.5,35.5,66.8,53.2,19.7,18.9,11.2,9.3,2.0,0.7,238.6,213.5,8.8,5.7,67.6,71.0,16.8,37.5,38.1,35.5,9.7,7.2,2.9,1.0,212.4,114.4,5.6,3.2,14.92,-1.28,1.6,2.1,0.9,9,451.0,327.9,76.8,55.3,6.7,4.6,2020,8.0
TULSA,american,0,1.0,6,22.1,19.3,1.3,2.6,0.8,1.1,9,1.2,0.7,3,Tulsa,34.0,31.1,56.5,60.7,19.2,18.9,11.4,8.3,1.7,1.1,252.8,189.6,9.0,10.2,73.6,70.7,21.6,27.1,39.6,39.6,9.3,8.4,1.4,1.0,161.3,144.3,4.1,3.6,5.2,0.42,2.0,1.8,0.667,6,414.1,333.9,82.4,74.9,5.6,4.7,2020,
MEMPHIS,american,3,0.625,5,23.6,22.7,2.7,1.3,0.8,0.7,11,0.9,1.1,3,Memphis,38.5,38.9,60.3,62.9,23.2,24.5,12.3,13.0,2.8,2.2,307.9,289.6,5.5,5.8,74.1,76.5,27.9,31.0,35.6,37.5,8.6,8.5,0.8,1.2,145.9,146.5,4.1,3.9,-1.29,-5.56,1.7,1.8,0.727,8,453.8,436.1,47.3,54.4,6.1,5.7,2020,
CENTRAL-FLORIDA,american,3,0.625,5,28.3,27.6,1.6,2.0,0.6,1.3,10,0.4,0.9,4,UCF,41.5,35.0,60.0,59.7,24.9,20.9,14.4,14.4,3.2,2.6,357.4,299.2,9.2,7.0,85.9,79.4,33.2,42.2,44.4,44.4,12.3,11.2,2.3,1.7,210.7,192.6,4.7,4.3,5.92,-1.78,1.0,2.2,0.6,6,568.1,491.8,74.8,59.9,6.6,6.2,2020,
SOUTHERN-METHODIST,american,3,0.571,4,25.1,22.8,2.9,1.5,0.6,1.0,10,0.6,0.7,3,SMU,37.6,32.0,65.4,58.1,24.6,18.6,12.7,11.5,2.3,2.2,318.0,241.9,6.8,7.6,75.3,74.8,30.9,38.6,37.7,42.8,9.5,9.8,2.4,1.9,176.5,180.3,4.7,4.2,0.06,-6.14,1.2,1.7,0.7,7,494.5,422.2,59.0,67.6,6.6,5.6,2020,
HOUSTON,american,3,0.5,3,22.9,20.8,1.4,1.9,0.8,0.4,8,1.3,0.4,5,Houston,37.1,29.8,58.9,58.8,21.9,17.5,12.9,9.9,1.9,2.0,265.8,231.0,7.6,5.1,73.8,69.0,32.0,30.0,36.6,39.3,8.6,9.0,1.5,1.5,143.1,167.5,3.9,4.3,-2.84,0.53,2.0,0.8,0.375,3,408.9,398.5,68.3,45.0,5.5,5.8,2020,
NAVY,american,4,0.429,3,14.3,19.8,0.7,1.3,0.7,0.6,10,0.4,0.3,7,Navy,12.4,23.0,46.0,60.9,5.7,14.0,3.6,8.0,0.6,1.1,97.4,180.8,4.4,4.6,60.6,64.4,30.3,16.6,48.2,41.4,10.0,10.5,1.5,2.3,177.7,204.7,3.7,4.9,-10.08,-0.88,1.1,0.9,0.3,3,275.1,385.5,40.2,36.6,4.5,6.0,2020,
TULANE,american,5,0.375,3,21.4,21.3,1.5,1.8,0.3,0.8,12,0.8,0.8,6,Tulane,26.1,32.9,52.7,60.5,13.8,19.9,8.6,10.3,1.8,2.3,176.7,279.1,6.2,5.9,68.8,74.9,28.1,34.7,42.8,42.0,11.3,9.2,2.7,1.3,217.3,144.3,5.1,3.4,-0.71,-4.3,1.2,1.6,0.5,6,394.0,423.4,50.6,49.9,5.7,5.7,2020,
EAST-CAROLINA,american,5,0.375,3,22.0,22.6,3.0,1.4,1.3,0.9,9,1.0,1.1,6,East Carolina,32.6,33.0,60.1,65.3,19.6,21.6,10.1,11.6,2.1,1.9,229.6,246.0,6.3,9.4,72.8,72.0,35.4,30.2,40.2,39.0,8.9,9.6,1.2,2.6,173.8,201.3,4.3,5.2,-6.43,-1.98,2.3,2.0,0.333,3,403.3,447.3,58.2,87.8,5.5,6.2,2020,
TEMPLE,american,6,0.143,1,20.9,21.4,1.7,1.3,0.4,1.3,7,1.6,0.4,6,Temple,34.3,24.3,60.8,56.5,20.9,13.7,11.4,8.6,1.6,2.6,209.4,224.4,5.4,5.3,74.9,67.6,37.1,19.9,40.6,43.3,7.7,11.6,0.7,2.1,143.1,208.6,3.5,4.8,-19.25,-3.83,2.0,1.7,0.143,1,352.6,433.0,45.9,50.9,4.7,6.4,2020,
SOUTH-FLORIDA,american,7,0.0,0,20.9,23.3,1.7,1.6,1.2,0.3,9,0.7,1.1,8,South Florida,34.8,30.0,59.7,60.7,20.8,18.2,10.8,10.8,1.3,2.3,216.6,229.1,5.3,5.6,72.2,72.9,39.9,23.1,37.4,42.9,8.4,11.0,1.2,2.2,148.8,212.3,4.0,5.0,-14.39,-1.28,1.9,1.4,0.111,1,365.3,441.4,50.2,54.1,5.1,6.1,2020,
OKLAHOMA,big-12,2,0.75,6,24.9,18.8,2.0,2.9,0.5,0.3,11,0.7,1.5,2,Oklahoma,32.9,37.1,68.8,55.4,22.6,20.5,14.2,9.8,2.7,1.1,315.0,245.5,7.2,9.2,71.0,67.5,21.7,43.0,38.1,30.4,8.7,6.1,2.5,1.6,179.7,105.3,4.7,3.5,17.62,3.71,1.3,1.7,0.818,9,494.7,350.8,65.7,73.9,7.0,5.2,2020,6.0
IOWA-STATE,big-12,1,0.889,8,22.9,18.1,1.6,0.9,0.4,0.7,12,0.8,0.8,3,Iowa State,31.1,31.5,66.8,62.7,20.8,19.8,11.3,10.8,1.7,1.2,241.3,237.3,5.1,6.2,69.0,63.3,21.4,32.9,37.9,31.8,10.1,6.4,2.6,0.9,195.0,104.3,5.1,3.3,13.93,5.43,1.2,1.4,0.75,9,436.3,341.6,42.6,50.7,6.3,5.4,2020,9.0
OKLAHOMA-STATE,big-12,3,0.667,6,23.6,19.0,2.7,1.9,0.5,0.9,11,0.9,0.5,3,Oklahoma State,31.0,32.5,60.7,57.8,18.8,18.8,10.5,9.0,1.6,1.6,239.5,218.9,6.6,8.1,77.0,71.3,23.5,30.2,46.0,38.7,10.4,8.1,1.5,1.2,188.0,160.1,4.1,4.1,10.46,4.92,1.5,1.5,0.727,8,427.5,379.0,53.9,73.5,5.6,5.3,2020,20.0
TEXAS,big-12,3,0.625,5,22.4,23.7,2.1,2.7,0.4,0.8,10,0.5,1.0,3,Texas,34.5,39.3,60.3,62.6,20.8,24.6,11.3,13.1,3.2,1.7,280.1,266.4,8.2,7.0,71.5,77.8,28.5,42.7,37.0,38.5,9.0,7.9,2.0,1.6,195.3,140.8,5.3,3.7,11.95,3.75,0.9,1.8,0.7,7,475.4,407.2,78.5,54.7,6.6,5.2,2020,19.0
TEXAS-CHRISTIAN,big-12,4,0.556,5,19.6,16.2,1.9,1.5,0.9,0.4,10,0.5,0.8,4,Texas Christian,27.3,30.8,60.1,54.2,16.4,16.7,7.5,8.9,1.1,1.8,196.3,223.4,7.7,6.5,68.4,65.9,24.2,30.8,41.1,35.1,10.2,5.8,2.3,0.9,216.1,127.5,5.3,3.6,7.41,3.71,1.4,1.2,0.6,6,412.4,350.9,63.3,58.3,6.0,5.3,2020,
WEST-VIRGINIA,big-12,4,0.5,4,21.9,16.0,2.0,2.3,0.7,0.2,10,0.4,1.1,4,West Virginia,40.1,25.4,63.1,61.8,25.3,15.7,12.5,6.5,1.6,1.2,277.5,159.6,8.2,6.0,75.9,62.6,20.5,26.5,35.8,37.2,7.4,7.2,1.5,1.1,135.1,131.8,3.8,3.5,5.97,1.07,1.1,1.3,0.6,6,412.6,291.4,74.1,51.8,5.4,4.7,2020,
KANSAS-STATE,big-12,5,0.444,4,15.5,22.9,1.6,1.9,0.5,0.5,10,1.0,0.7,6,Kansas State,24.7,35.3,55.5,67.7,13.7,23.9,6.7,12.1,1.2,2.0,185.7,267.5,6.4,5.5,60.0,72.8,32.2,26.6,35.3,37.5,7.2,8.9,1.7,2.0,151.9,177.2,4.3,4.7,-0.01,4.5,1.5,1.2,0.4,4,337.6,444.7,54.9,55.8,5.6,6.1,2020,
TEXAS-TECH,big-12,6,0.333,3,21.4,23.3,1.4,2.3,0.8,0.5,10,1.1,0.5,6,Texas Tech,39.8,35.4,65.1,63.6,25.9,22.5,11.8,10.8,1.8,1.7,266.7,258.5,6.7,6.0,73.4,77.7,36.7,29.1,33.6,42.3,8.2,10.2,1.7,2.4,163.4,186.4,4.9,4.4,-1.67,3.53,1.9,1.0,0.4,4,430.1,444.9,57.7,50.7,5.9,5.7,2020,
BAYLOR,big-12,7,0.222,2,18.3,19.6,2.1,1.4,0.1,0.6,9,0.9,1.3,7,Baylor,36.8,28.8,61.9,63.7,22.8,18.3,9.6,9.2,1.6,1.3,219.9,203.0,7.2,6.7,69.9,69.4,29.2,23.3,33.1,40.7,6.7,8.9,0.9,2.2,90.3,180.4,2.7,4.4,0.48,5.81,1.0,1.9,0.222,2,310.2,383.4,62.4,57.1,4.4,5.5,2020,
KANSAS,big-12,8,0.0,0,15.9,23.3,1.9,1.6,0.4,0.7,9,1.1,0.4,9,Kansas,31.4,28.6,54.8,61.9,17.2,17.7,7.4,9.3,0.8,2.2,154.3,223.0,5.7,6.8,70.8,69.2,46.0,15.8,39.3,40.7,6.6,12.4,1.0,2.7,104.9,236.2,2.7,5.8,-13.53,7.25,1.6,1.1,0.0,0,259.2,459.2,46.4,64.7,3.7,6.6,2020,
OHIO-STATE,big-ten,0,1.0,5,24.9,20.8,2.5,1.5,0.4,1.5,8,0.8,0.9,1,Ohio State,28.1,39.5,70.2,66.1,19.8,26.1,11.4,13.8,2.8,2.0,262.5,304.0,6.1,5.6,71.3,68.5,25.8,41.0,43.1,29.0,11.0,5.5,2.4,1.3,256.9,97.9,6.0,3.4,21.37,8.99,1.1,2.4,0.875,7,519.4,401.9,54.4,51.4,7.3,5.9,2020,2.0
INDIANA,big-ten,1,0.857,6,20.3,20.1,2.5,1.1,0.9,0.4,8,0.6,2.1,2,Indiana,36.5,34.5,57.5,59.1,21.0,20.4,10.8,11.4,2.0,1.6,250.9,241.0,4.3,7.5,70.5,68.5,20.3,28.9,34.0,34.0,7.0,7.6,1.5,0.9,111.8,137.1,3.3,4.0,13.71,4.46,1.5,2.5,0.75,6,362.6,378.1,44.8,70.8,5.1,5.5,2020,12.0
PENN-STATE,big-ten,5,0.444,4,24.8,17.3,1.7,1.3,0.9,0.6,9,1.0,0.4,5,Penn State,34.1,29.6,60.3,59.0,20.6,17.4,12.1,8.3,1.9,1.7,256.0,198.6,4.3,4.9,78.8,64.9,27.7,29.8,44.7,35.3,11.0,7.7,1.7,1.4,174.3,130.4,3.9,3.7,4.22,3.99,1.9,1.0,0.444,4,430.3,329.0,37.2,40.8,5.5,5.1,2020,
MARYLAND,big-ten,3,0.4,2,18.4,25.2,0.6,3.0,0.4,0.4,5,1.8,0.4,3,Maryland,31.8,33.0,61.6,56.4,19.6,18.6,10.6,10.6,1.8,1.2,264.0,200.0,8.8,4.2,62.0,80.2,32.0,23.6,30.2,47.2,7.2,11.6,1.0,2.8,145.0,230.0,4.8,4.9,0.49,5.29,2.2,0.8,0.4,2,409.0,430.0,79.6,34.8,6.6,5.4,2020,
MICHIGAN,big-ten,4,0.333,2,19.3,24.0,1.5,2.3,0.3,0.2,6,0.7,0.3,4,Michigan,35.5,34.7,57.7,59.1,20.5,20.5,11.8,12.2,1.5,2.0,250.3,255.5,5.8,5.3,64.2,77.7,34.5,28.3,28.7,43.0,6.0,9.5,2.0,2.3,131.0,178.8,4.6,4.2,-1.25,3.25,1.0,0.5,0.333,2,381.3,434.3,57.5,48.0,5.9,5.6,2020,
RUTGERS,big-ten,6,0.333,3,19.0,23.7,2.0,2.6,0.6,1.2,9,1.0,0.9,6,Rutgers,35.1,31.2,62.7,67.3,22.0,21.0,9.2,10.9,1.6,2.3,198.8,245.4,7.4,7.3,72.7,75.7,32.1,26.7,37.6,44.4,7.8,10.2,1.4,1.6,142.4,206.4,3.8,4.6,-2.38,3.18,1.6,2.1,0.333,3,341.2,451.9,60.6,64.3,4.7,6.0,2020,
MICHIGAN-STATE,big-ten,5,0.286,2,16.1,21.3,1.7,1.9,1.1,0.9,7,1.7,0.7,5,Michigan State,34.6,35.3,54.5,61.1,18.9,21.6,10.3,11.9,1.6,1.1,238.9,239.4,6.9,6.3,68.6,75.1,35.1,18.0,34.0,39.9,4.1,7.6,0.3,2.9,91.7,158.0,2.7,4.0,-2.93,8.79,2.9,1.6,0.286,2,330.6,397.4,63.0,50.4,4.8,5.3,2020,
NORTHWESTERN,big-ten,1,0.857,6,20.3,19.0,1.7,1.4,0.8,0.6,9,0.9,1.6,2,Northwestern,31.6,37.4,61.3,51.9,19.3,19.4,10.8,8.9,1.3,0.9,197.9,195.3,5.0,6.0,75.2,70.2,15.9,24.7,43.7,32.8,7.9,8.7,1.8,0.6,163.0,145.9,3.7,4.5,12.55,4.88,1.7,2.1,0.778,7,360.9,341.2,40.4,48.1,4.8,4.9,2020,10.0
IOWA,big-ten,2,0.75,6,19.9,17.6,1.1,0.6,0.5,0.9,8,0.6,1.4,2,Iowa,31.0,34.4,56.9,57.8,17.6,19.9,10.3,9.8,1.1,1.1,197.6,206.1,4.8,4.9,68.0,72.3,16.0,31.8,37.0,37.9,8.5,7.3,2.3,1.0,171.0,107.6,4.6,2.8,13.77,1.77,1.1,2.3,0.75,6,368.6,313.8,39.6,41.4,5.4,4.3,2020,16.0
WISCONSIN,big-ten,3,0.5,3,19.6,15.3,1.6,1.9,0.7,0.6,7,1.0,1.1,3,Wisconsin,28.9,31.1,61.4,50.5,17.7,15.7,8.0,9.4,1.4,1.7,181.0,203.7,5.1,4.1,70.7,59.9,17.4,25.1,41.9,28.7,10.0,4.0,1.9,0.3,164.6,96.1,3.9,3.3,8.62,4.33,1.7,1.7,0.571,4,345.6,299.9,42.3,37.3,4.9,5.0,2020,
MINNESOTA,big-ten,4,0.429,3,21.6,20.4,2.0,1.4,0.3,0.3,7,0.7,0.7,4,Minnesota,26.3,27.4,58.2,64.1,15.3,17.6,9.4,9.1,1.0,1.6,199.1,208.7,4.6,6.1,68.9,60.3,30.1,27.3,42.6,32.9,10.1,9.9,2.7,2.3,191.9,206.7,4.5,6.3,-1.32,2.1,1.0,1.0,0.429,3,391.0,415.4,41.9,62.7,5.7,6.9,2020,
NEBRASKA,big-ten,5,0.375,3,21.4,20.8,1.5,1.8,1.1,0.3,8,1.1,0.6,5,Nebraska,28.6,30.1,68.1,63.1,19.5,19.0,8.5,10.4,0.6,1.3,190.1,217.0,6.8,4.9,70.4,70.8,29.4,23.1,41.8,40.6,11.4,8.6,1.9,1.9,201.4,169.5,4.8,4.2,0.14,5.14,2.3,0.9,0.375,3,391.5,386.5,60.6,44.6,5.6,5.5,2020,
PURDUE,big-ten,4,0.333,2,22.8,21.8,2.3,2.3,0.5,0.7,6,0.7,0.5,4,Purdue,43.5,32.0,67.4,65.6,29.3,21.0,14.5,11.2,2.5,1.5,309.0,254.2,7.0,7.3,68.0,73.5,29.8,27.2,24.5,41.5,6.0,8.3,0.7,2.0,82.2,147.2,3.4,3.5,-0.18,2.66,1.2,1.2,0.333,2,391.2,401.3,59.8,73.0,5.8,5.5,2020,
ILLINOIS,big-ten,6,0.25,2,17.9,24.5,1.6,1.6,0.6,1.0,8,0.5,0.9,6,Illinois,24.3,26.8,46.9,69.6,11.4,18.6,6.6,10.9,1.3,2.3,152.9,237.1,4.9,5.1,65.0,71.1,34.9,20.1,40.8,44.4,9.6,12.0,1.1,2.1,196.1,230.6,4.8,5.2,-6.39,4.36,1.1,1.9,0.25,2,349.0,467.8,50.8,42.9,5.4,6.6,2020,
MARSHALL,cusa,1,0.8,4,22.1,17.1,2.1,2.7,0.2,1.0,10,1.0,0.5,3,Marshall,28.1,29.2,60.9,62.3,17.1,18.2,9.6,7.9,1.9,0.8,212.9,183.9,6.0,5.4,66.8,63.5,13.0,28.5,38.7,34.3,10.4,6.5,1.8,0.6,178.4,95.5,4.6,2.8,3.3,-6.6,1.2,1.5,0.7,7,391.3,279.4,62.7,49.6,5.9,4.4,2020,
FLORIDA-ATLANTIC,cusa,2,0.667,4,17.9,17.8,1.3,0.8,0.6,0.6,9,0.7,0.7,4,Florida Atlantic,25.8,29.6,52.6,54.9,13.6,16.2,7.2,8.3,0.9,1.0,144.4,188.2,4.7,5.4,66.1,66.8,17.4,18.9,40.3,37.2,9.3,8.7,1.3,0.7,180.1,154.6,4.5,4.2,-7.91,-10.02,1.2,1.2,0.556,5,324.6,342.8,38.9,51.4,4.9,5.1,2020,
WESTERN-KENTUCKY,cusa,3,0.571,4,16.3,19.3,0.8,1.4,0.9,0.3,12,0.3,0.5,7,Western Kentucky,30.8,27.9,56.4,52.2,17.3,14.6,7.4,7.9,1.0,1.3,165.3,177.3,4.5,4.6,62.9,68.9,25.3,19.0,32.2,41.0,8.0,10.0,0.9,1.7,125.7,170.9,3.9,4.2,-11.15,-6.07,1.3,0.8,0.417,5,291.0,348.3,40.1,43.1,4.6,5.1,2020,
CHARLOTTE,cusa,2,0.5,2,19.8,21.2,1.5,2.0,0.7,0.5,6,0.3,0.8,4,Charlotte,29.8,27.5,54.7,57.6,16.3,15.8,9.8,9.5,1.7,1.7,222.8,205.5,7.0,4.8,69.3,64.0,32.5,27.0,39.5,36.5,8.5,9.7,1.8,2.3,154.8,214.0,3.9,5.9,-14.41,-9.41,1.0,1.3,0.333,2,377.7,419.5,61.7,37.0,5.4,6.6,2020,
MIDDLE-TENNESSEE-STATE,cusa,4,0.333,2,20.2,23.1,2.1,1.2,0.7,0.7,9,1.1,0.9,6,Middle Tennessee State,34.4,31.2,66.1,59.4,22.8,18.6,9.4,10.2,1.4,2.1,230.4,224.1,5.7,5.6,70.6,73.1,35.4,22.9,36.1,41.9,8.7,11.7,1.3,2.3,135.4,223.2,3.8,5.3,-15.36,-6.25,1.8,1.6,0.333,3,365.9,447.3,52.2,48.1,5.2,6.1,2020,
FLORIDA-INTERNATIONAL,cusa,3,0.0,0,13.8,23.0,1.0,2.0,0.4,0.2,5,0.4,0.4,5,Florida International,26.0,27.8,44.6,64.0,11.6,17.8,6.0,9.2,1.0,1.2,123.4,187.2,6.4,3.8,61.2,73.2,32.4,22.4,35.2,45.4,6.8,11.8,1.6,2.2,160.4,235.6,4.6,5.2,-22.18,-10.38,0.8,0.6,0.0,0,283.8,422.8,48.0,35.0,4.6,5.8,2020,
OLD-DOMINION,cusa,,,,,,,,,,,,,0,Old Dominion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2020,
ALABAMA-BIRMINGHAM,cusa,1,0.75,3,19.3,18.0,1.6,2.7,0.8,0.7,9,1.0,0.9,3,UAB,27.1,31.7,55.7,52.6,15.1,16.7,9.0,8.3,1.6,1.7,201.3,173.2,9.1,4.8,67.8,66.3,21.4,28.4,40.7,34.7,8.8,7.0,1.9,0.6,200.0,137.9,4.9,4.0,1.28,-4.28,1.8,1.6,0.667,6,401.3,311.1,84.4,46.3,5.9,4.7,2020,
TEXAS-SAN-ANTONIO,cusa,2,0.714,5,21.8,20.2,2.2,2.5,0.3,0.7,12,0.7,0.9,5,UTSA,30.8,30.1,60.0,60.7,18.5,18.3,9.6,8.4,1.3,1.8,199.9,221.3,6.9,5.9,72.2,67.9,25.7,28.3,41.3,37.8,10.1,9.3,2.0,1.3,215.4,162.3,5.2,4.3,-3.8,-6.71,1.0,1.6,0.583,7,415.3,383.6,64.3,55.3,5.8,5.6,2020,
LOUISIANA-TECH,cusa,2,0.667,4,19.9,20.8,2.2,1.5,0.2,0.5,10,1.4,0.9,5,Louisiana Tech,35.9,29.2,61.6,64.0,22.1,18.7,10.3,9.6,2.1,1.8,216.6,229.0,5.0,8.2,70.3,69.9,34.7,26.7,34.4,40.7,7.4,9.7,1.0,2.6,99.2,198.3,2.9,4.9,-8.34,-4.24,1.6,1.4,0.5,5,315.8,427.3,45.6,74.0,4.5,6.1,2020,
NORTH-TEXAS,cusa,4,0.429,3,24.8,25.2,1.4,2.2,0.6,0.2,10,0.9,0.7,6,North Texas,33.6,31.1,55.1,62.7,18.5,19.5,11.7,11.0,2.8,2.5,283.0,252.9,6.8,6.8,77.9,75.1,42.8,34.4,44.3,44.0,11.7,12.0,1.8,3.2,230.2,269.8,5.2,6.1,-14.8,-8.9,1.5,0.9,0.4,4,513.2,522.7,53.6,56.3,6.6,7.0,2020,
RICE,cusa,3,0.4,2,21.6,16.4,2.2,0.6,1.2,0.6,5,0.4,1.2,3,Rice,26.6,25.8,61.7,59.7,16.4,15.4,10.4,8.2,2.2,1.0,210.8,200.8,3.4,7.0,69.8,60.0,18.8,23.4,43.2,34.2,9.0,7.6,0.2,1.0,120.8,140.8,2.8,4.1,-3.97,-7.97,1.6,1.8,0.4,2,331.6,341.6,23.8,61.4,4.8,5.7,2020,
SOUTHERN-MISSISSIPPI,cusa,4,0.333,2,18.8,21.4,1.2,1.0,0.7,0.6,10,0.9,0.6,7,Southern Mississippi,27.4,29.4,62.4,62.9,17.1,18.5,9.3,10.3,1.2,2.4,213.0,220.8,4.4,4.4,64.3,69.7,32.3,25.3,36.9,40.3,8.3,10.1,1.8,1.7,159.0,180.9,4.3,4.5,-14.39,-7.79,1.6,1.2,0.3,3,372.0,401.7,36.7,36.7,5.8,5.8,2020,
TEXAS-EL-PASO,cusa,4,0.0,0,18.6,18.6,2.1,1.9,0.8,0.8,8,1.1,0.3,5,UTEP,29.9,28.0,52.7,63.4,15.8,17.8,8.9,9.4,0.9,2.4,209.3,240.3,7.1,6.1,67.4,62.4,31.0,23.0,37.5,34.4,7.6,7.4,2.0,1.8,138.9,141.0,3.7,4.1,-15.29,-11.41,1.9,1.0,0.375,3,348.1,381.3,63.1,58.5,5.2,6.1,2020,
